article_candidate,atlas_id,claim_ceiling,experiment,frontier_loop_score,negative_control,phase_gate,prior_art_status,project,rights_risk,score_reasons,source_family
An Editorial Apparatus for Nwagụ Aneke,ATLAS-0007,"apparatus quality, not final transcription",encode five disputed cells with apparatus rather than single labels,77.0,single flattened reading,begin_now,seeded_from_attachment_requires_verification,EpiDoc,medium,phase_gate=begin_now:30; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,epigraphic encoding
A Cultural-Heritage Graph for Nwagụ Aneke,ATLAS-0029,"graph structure, not source evidence","model glyph instance, page, source, reading, rights as linked entities",77.0,flat spreadsheet,begin_now,seeded_from_attachment_requires_verification,Arches,medium,phase_gate=begin_now:30; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,cultural heritage inventories
Contradiction Discovery in Nwagụ Evidence Graphs,ATLAS-0030,"queryability, not claim truth",query which claims depend on the same weak source,77.0,manual contradiction list,begin_now,seeded_from_attachment_requires_verification,ResearchSpace,medium,phase_gate=begin_now:30; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,semantic cultural heritage
Linked Cultural Data for Nwagụ Sources,ATLAS-0031,"interoperability, not source access",map Nwagụ source objects to Linked Art-like JSON-LD,77.0,custom-only JSON,begin_now,seeded_from_attachment_requires_verification,Linked Art,medium,phase_gate=begin_now:30; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,linked cultural data
Disagreement as Data in Nwagụ Annotation,ATLAS-0044,"annotation workflow, not gold truth",prototype label config for cells and promotion-error claims,77.0,single reviewer spreadsheet,begin_now,seeded_from_attachment_requires_verification,Label Studio,medium,phase_gate=begin_now:30; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,annotation tooling
CLDF-Inspired Nwagụ Reading Records,ATLAS-0046,"data interoperability, not source truth",model Nwagụ readings as CLDF-like tables,77.0,English gloss-only records,begin_now,seeded_from_attachment_requires_verification,CLDF/pycldf,medium,phase_gate=begin_now:30; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,linguistic data standards
Evidence-Gated Autoresearch for Cultural Artifacts,ATLAS-0053,"workflow comparison, not scientific discovery",compare paper-readiness gains with/without evidence gate,77.0,auto paper without evidence,begin_now,seeded_from_attachment_requires_verification,AI Scientist,medium,phase_gate=begin_now:30; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,automated scientific discovery
Keyed vs Unkeyed Nwagụ Acquisition,ATLAS-0050,"benchmark comparability, not decipherment",implement A0-A5 acquisition conditions as eval tasks,75.0,single model demo,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,LM Evaluation Harness,low,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; benchmark_or_eval_family:8; prior_art_unverified:-6,language model benchmarks
Procedural Null Models for Nwagụ Aneke,ATLAS-0054,"experimental architecture, not evidence about Nwagụ",compare real chart to shuffled and synthetic control charts,75.0,no-control pattern spotting,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,GLOSSOPETRAE,low,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; benchmark_or_eval_family:8; prior_art_unverified:-6,procedural symbolic benchmarks
Reproducible Glyph Experiments for Nwagụ,ATLAS-0041,"pipeline reproducibility, not model validity",define pipeline for crop -> feature -> cluster -> report,73.0,notebook-only analysis,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,DVC,low,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; reproducibility_family:6; prior_art_unverified:-6,experiment data versioning
Topological Sign Families in Nwagụ Aneke,ATLAS-0019,topological regularity only,test whether topology clusters by row/vowel/full-word status,67.0,raw pixel clustering,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,giotto-tda,low,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,topological data analysis
Emergent Communication Under Nwagụ-Like Constraints,ATLAS-0021,"functional pressure, not Aneke intention",test whether agents invent factorized signals under Nwagụ-like constraints,67.0,unconstrained signaling game,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,EGG,low,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,emergent communication
Visual-Phonological Geometry in Nwagụ Aneke,ATLAS-0048,"correlation, not design intention",test relation between visual distance and phonological distance,67.0,random phonological assignment,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,LingPy,low,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,historical linguistics computation
Ground Truth Without Overrelease,ATLAS-0003,dataset structure only until rights clear,package reviewed chart cells as HTR-style ground-truth metadata without public image release,59.0,unlinked image folder,begin_now,seeded_from_attachment_requires_verification,HTR-United,high,phase_gate=begin_now:30; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,ground-truth data standards
Image Comparison for Nwagụ Sign Review,ATLAS-0012,"review interface, not publication clearance",build a private IIIF comparison protocol for disputed cells,59.0,single static contact sheet,begin_now,seeded_from_attachment_requires_verification,Mirador,high,phase_gate=begin_now:30; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,IIIF image comparison
Community-Led Evaluation for Nwagụ NLP,ATLAS-0023,"evaluation governance, not technical accuracy alone",define community-facing success criteria for Nwagụ tools,59.0,external-only NLP metrics,begin_now,seeded_from_attachment_requires_verification,Masakhane,high,phase_gate=begin_now:30; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,African NLP
Machine-Readable Cultural Authority for Nwagụ,ATLAS-0026,"governance model, not publication permission",attach access/training/display permissions to each source record,59.0,single global license,begin_now,seeded_from_attachment_requires_verification,Mukurtu,high,phase_gate=begin_now:30; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,Indigenous digital heritage governance
CARE/FAIR Tension in Nwagụ Data,ATLAS-0027,"protocol expressivity, not consent itself",prototype non-public label fields for Nwagụ records,59.0,copyright-only metadata,begin_now,seeded_from_attachment_requires_verification,Local Contexts,high,phase_gate=begin_now:30; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,traditional knowledge labels
CARE-Gated Script Documentation,ATLAS-0028,"governance quality, not rights clearance",add CARE gate to every atlas record,59.0,FAIR-only release checklist,begin_now,seeded_from_attachment_requires_verification,CARE Principles,high,phase_gate=begin_now:30; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,Indigenous data governance
Digital Survivability of an Unencoded African Script,ATLAS-0036,"digital survivability, not encoding proposal",measure copy/sort/search failures across representations,57.0,single platform test,after_repertoire_stability,seeded_from_attachment_requires_verification,ICU,medium,phase_gate=after_repertoire_stability:10; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,internationalization
Disagreement-Guided Glyph Review,ATLAS-0005,"active-learning priority, not identity proof",rank cells by model disagreement for expert review,55.0,random review order,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,Calamari OCR,medium,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,OCR model comparison
Constraint-Graph Palaeography for Nwagụ Aneke,ATLAS-0011,"palaeographic feature model, not character inventory","annotate endpoints, loops, crossings, and compare across rows",55.0,pixel-only similarity,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,DigiPal,medium,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,digital paleography
"Keyed, Few-Shot, and Unkeyed Reading of Nwagụ Aneke",ATLAS-0013,"learnability, not historical intention",measure held-out cell prediction from K examples,55.0,random labels with same crops,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,Omniglot,medium,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,one-shot character learning
Reverse Procedural Archaeology of Nwagụ Glyphs,ATLAS-0014,"formal regularity, not author intention",compare lookup table vs program library by description length,55.0,complexity-matched random glyph charts,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,Bayesian Program Learning,medium,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,program induction for characters
Program Induction for an Underdocumented Igbo Script,ATLAS-0015,"compressive formal model, not historical proof",induce reusable drawing primitives and test held-out reconstruction,55.0,independent primitive per glyph,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,DreamCoder,medium,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,program synthesis
Nwagụ Constraint-Graph Palaeography,ATLAS-0016,"structural signal, not meaning",test whether graph features predict row/column better than pixels,55.0,pixel embeddings only,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,SketchGraphs,medium,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,constraint-graph geometry
Vector Structure in Nwagụ Glyphs,ATLAS-0017,"vector legibility, not character identity",compare SVG-command similarity to human confusion,55.0,raster similarity,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,DeepSVG,medium,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,vector graphics modeling
Transport Fragility in Nwagụ Digitization,ATLAS-0018,"rendering robustness, not glyph truth",fit vector paths to crops and measure robustness under rendering changes,55.0,manual SVG only,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,diffvg,medium,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,differentiable vector graphics
Cultural Transmission of Nwagụ-Like Signs,ATLAS-0020,"transmission pressure, not historical origin",transmit sign subsets through learner chains and measure regularization,55.0,one-generation memorization,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,Edinburgh Centre for Language Evolution,medium,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,cultural transmission
Human Transmission of Nwagụ Sign Subsets,ATLAS-0022,"learning pressure, not manuscript history",compare drift of real vs synthetic control signs,55.0,random symbol set only,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,Iterated language games,medium,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,artificial grammar learning
What Receives a Whole-Word Sign?,ATLAS-0024,"lexical allocation signal, not cultural proof","compare full-word signs to frequency, dialect, and semantic categories",54.0,random Igbo word set,after_logograph_review,seeded_from_attachment_requires_verification,Nkọwa okwu,medium,phase_gate=after_logograph_review:7; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,Igbo lexical resources
Concept-Linked Full-Word Signs,ATLAS-0047,"semantic comparison, not cultural meaning",map word signs to concept sets and test allocation patterns,54.0,unmapped English glosses,after_logograph_review,seeded_from_attachment_requires_verification,Concepticon,medium,phase_gate=after_logograph_review:7; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,concept metadata
Citable Research Objects for Nwagụ Work,ATLAS-0042,"metadata readiness, not publication approval",create dry-run metadata for non-sensitive atlas release,53.0,uncited GitHub folder,after_authority_review,seeded_from_attachment_requires_verification,Zenodo,medium,phase_gate=after_authority_review:6; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,research output publication
When the Font Is the Key,ATLAS-0033,"transport behavior, not encoding readiness",test glyph rendering/copying without assigning Unicode code points,39.0,static PNG only,after_repertoire_stability,seeded_from_attachment_requires_verification,HarfBuzz,high,phase_gate=after_repertoire_stability:10; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,text shaping
Pre-Unicode Font QA for Nwagụ Aneke,ATLAS-0034,"font QA, not public standardization",build non-public test font with explicit non-Unicode status,39.0,handmade font file,after_repertoire_stability,seeded_from_attachment_requires_verification,fontTools,high,phase_gate=after_repertoire_stability:10; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,font engineering
Keyboard Before Unicode? Input Prototyping for Nwagụ,ATLAS-0035,"input ergonomics, not release approval",test ASCII-ID entry vs visual keyboard for reviewed signs,39.0,manual copy/paste,after_repertoire_stability,seeded_from_attachment_requires_verification,Keyman,high,phase_gate=after_repertoire_stability:10; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,input systems
Visual Sign Families in Nwagụ Aneke,ATLAS-0010,"visual families, not linguistic values",cluster signs by visual features and compare to readings,37.0,reading-based clusters,after_reviewed_glyph_inventory,seeded_from_attachment_requires_verification,DeepScribe,high,phase_gate=after_reviewed_glyph_inventory:8; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,sign localization
"Script, Speech, and Dialect Alignment for Nwagụ",ATLAS-0025,"corpus protocol, not immediate data release",design consented alignment corpus protocol,35.0,text-only corpus,after_authority_review,seeded_from_attachment_requires_verification,Common Voice,high,phase_gate=after_authority_review:6; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,community speech collection
Unicode Before or After Community?,ATLAS-0037,"readiness audit, not proposal",score Nwagụ against encoding readiness criteria,35.0,premature codepoint table,after_authority_review,seeded_from_attachment_requires_verification,Script Encoding Initiative,high,phase_gate=after_authority_review:6; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,script encoding support
A Governed Nwagụ Open-Problem Challenge,ATLAS-0038,"challenge design, not data release","define tasks for segmentation, variant matching, and evidence-preserving interpretation",35.0,open-ended decode challenge,after_authority_review,seeded_from_attachment_requires_verification,Vesuvius Challenge,high,phase_gate=after_authority_review:6; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,open research challenge
Visual Annotation Workflow for Nwagụ Cells,ATLAS-0045,"segmentation quality, not interpretation",segment chart/manuscript glyph instances with reviewer agreement,35.0,automatic crop grid only,after_authority_review,seeded_from_attachment_requires_verification,CVAT,high,phase_gate=after_authority_review:6; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,visual annotation
Uncertainty-Aware Restoration for Nwagụ Aneke,ATLAS-0006,"decision support, not autonomous reading",rank alternatives for ambiguous signs with confidence and source context,33.0,top-1 answer without alternatives,after_manuscript_access,seeded_from_attachment_requires_verification,DeepMind Ithaca,high,phase_gate=after_manuscript_access:4; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,ancient-text restoration
Cataloging the Nwagụ Notebook Tradition,ATLAS-0008,"catalog design, not manuscript access","design notebook catalog schema separating object, image, sign, reading",33.0,flat note filenames,after_manuscript_access,seeded_from_attachment_requires_verification,CDLI,high,phase_gate=after_manuscript_access:4; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,ancient document infrastructure
A Queryable Edition Model for Nwagụ Aneke,ATLAS-0009,"edition architecture, not corpus claims",draft edition schema for one sample page when access exists,33.0,plain text transcript,after_manuscript_access,seeded_from_attachment_requires_verification,ORACC,high,phase_gate=after_manuscript_access:4; rights_risk=high:-8; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,ancient corpora
