case_id,claim_text,input_layer,output_layer,promotion_error,severity,quality_gate_status,review_question,human_domain_decision,reviewer_notes
LPE3-0209,**DPI framing** | 5.0 | 5.0 | **5.0** | 0 | Unchanged | Still the strongest part of the paper.,design_hypothesis,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0210,**Reviewer-resistance** | 3.5 | 4.7 | **4.9** | +0.2 | **Real (>2× MAD)** | CONT-006 resolved — no more fabricated evidence risk.,design_hypothesis,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0211,"DSR framing is a recognized method so ""no empirical evidence"" is no longer a vulnerability.",design_hypothesis,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0212,"**Track fit** | 4.0 | 4.6 | **4.8** | +0.2 | **Real (>2× MAD)** | DSR framing (""design knowledge"" not ""empirical findings"") is exactly what Track 6 Ongoing Research category expects.",design_hypothesis,design_hypothesis,yes,minor,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0213,**Section 6 restructured as Design Science Computability Demonstration** — Workspace A removed; illustrative values explicitly labelled; DSR methodology cited (Hevner et al.,blocked,design_hypothesis,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0225,The 27×8 matrix is a structured codebook; the lexical cache is a non-uniform prior; deliberate redundancy is an error-correcting code; surface variation tolerance defines equivalence classes.,speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0226,"Every claim PAGC makes can be formalized in Shannon's framework — and therefore every claim is, in principle, falsifiable.",speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0227,Compute the two-part MDL code length: model description (27×8 matrix + cache) + data description (Igbo corpus encoded under PAGC).,derived,source_observed,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0228,"**Qudit Quantum Code Construction:** Construct a [[216, k, d]] qudit (d=27) quantum error-correcting code whose stabilizer generators are defined by the PAGC modifier operations.",speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0229,**Holographic Code Connection:** PAGC's boundary (216 tokens) encoding a bulk (all possible Igbo surface expressions) has the structure of a holographic code.,speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0233,**Crystal-PAGC Structural Isomorphism:** Map PAGC's 27×8 matrix onto a crystal structure where bases = Wyckoff positions and modifiers = space group operations.,speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0234,PAGC's 27×8 design is cognitively optimal: 27 bases fit in long-term memory as stable categories; 8 modifiers fit in working memory as active operations.,speculative,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0239,The contribution is not just mathematical — it is epistemic: it proves that Indigenous knowledge systems can generate formally rigorous scientific contributions.,speculative,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0242,"The best candidate: if PAGC's 27-base structure exhibits E₆ symmetry, no alternative n×m matrix (where n≠27) would exhibit the same symmetry — making the E₆ prediction a uniquely discriminating test.",speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0243,"PAGC instantiates an exact linguistic analog: the 216-token boundary matrix fully encodes all possible Igbo surface expressions (the bulk), with information density bounded by the 27×8 matrix size.",speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0244,"If PAGC's 27-base structure genuinely exhibits E₆ symmetry, and if E₆ appears in string theory / M-theory compactifications, then PAGC's structure may be a low-energy projection of fundamental physical symmetries.",speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0245,"The number 27 is mathematically exceptional: 27 lines on a cubic surface (Cayley-Salmon theorem, 1849), 27-dimensional exceptional Jordan algebra (Albert 1934), 27-dimensional fundamental representation of E₆.",speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0246,The combination 27×8 = 216 = 6³ is a perfect cube — the volume of a 3D hypercube over F₆ (the field with 6 elements).,derived,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0248,"This syllabary consists of 27 base symbols and 8 modifiers, which can be combined to create a total of 216 unique tokens.",derived,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0250,This breakthrough would enable the creation of a new generation of artificial intelligence systems that are capable of simulating human culture and language.,speculative,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0252,Its 27×8 matrix is the structural component; lexical cache items are the data component.,derived,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0253,This paper provides the theoretical link between PAGC's communicative function and its structural form.,design_hypothesis,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0255,This paper provides the theoretical scaffold for claiming structural linguistic priors (like the 27×8 matrix) are implicitly learned or exploitable by LLMs.,speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0256,This paper formalizes why chunking converges on a stable alphabet: it is the MDL-optimal policy.,derived,derived,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0257,Chunk-based cultural evolution theory predicts this: the 27×8 matrix persisted precisely because it encodes Igbo linguistic structure in a form that is cognitively chunkable.,speculative,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0259,This paper's MDL framework is the formal tool for proving PAGC achieves minimum-complexity encoding of Igbo knowledge.,speculative,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0260,"If the MDL of the full Igbo semantic graph equals the MDL of PAGC's 216-token matrix, PAGC is a Kolmogorov-optimal description.",speculative,speculative,no,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0263,The threshold finding (≥10 clusters needed) suggests PAGC's 27 bases are well above any minimum — providing robustness headroom.,derived,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0264,"The ""Internet of Plants"" framing positions living systems as generative communication networks, validating PAGC's claim that the 27×8 matrix is a universal communication architecture.",speculative,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0265,The 27×8 matrix = the generative level; surface variants = plural projections.,derived,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0274,The distance-3 recall problem (novel combinations) is precisely what PAGC's cross-domain generativity claims to address.,speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0275,A PAGC-augmented concept graph could use the 27×8 matrix as a semantic prior to boost d=3 recall beyond 35%.,speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0282,Decolonial epistemology contribution | **Strong independent contribution — survives all tests** | Historical/source audit and careful epistemic framing | Source audit in progress.,speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0283,Chart transcription + logograph semantic analysis supports concentration in moral/social domains.,source_index,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0287,**🔴 CRITICAL: Download and read Azuonye 1992 PDF** — Resolve the 26 vs 27 vs 28 consonant row count.,blocked,blocked,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0290,**🟢 Locate Ahamefula & Mbah 2011 full text** — Independent structural count from linguistic analysis.,blocked,blocked,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0293,"The source archive has started, but the repository has not yet completed symbol transcription or inventory validation.",blocked,blocked,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0294,"The E₆ Symmetry Claim *(Mathematics + Physics + Quantum)* **Claim:** PAGC's 27 bases transform under the Weyl group W(E₆), making the 27×8 matrix a linguistic realization of the exceptional Lie group E₆.",speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0296,"The Universal Compression Claim *(Information Theory + AI)* **Claim:** PAGC achieves minimum-description-length encoding of Igbo semantic space and generalizes to cross-domain compression (text, music, visual patterns).",speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0297,The Genetic Code Isomorphism *(Synthetic Biology)* **Claim:** PAGC's 27×8 matrix is structurally isomorphic to the genetic codon table (4×4×4 = 64 codons encoding 20+stop) at the information-theoretic level.,speculative,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0299,The Decolonial Epistemology Contribution *(Independent of technical claims)* **Claim:** A knowledge system dismissed for 60+ years because of colonial-era origin and non-Western provenance contains insights parallel to foundational Western science.,speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0308,**E₆ Symmetry Claim** — PAGC's 27 bases transform under Weyl group W(E₆).,speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0309,**Universal Compression Claim** — PAGC achieves MDL encoding of Igbo semantic space.,speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0311,**Sovereign Memory Claim** — 216-token constrained memory buffer outperforms unbounded episodic memory in non-stationary RL environments.,speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0316,"The 27×8 generative matrix is structurally identical to the codebook architectures underlying tokenization (BPE, SentencePiece) and quantization (multi-codebook AQLM).",derived,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0319,PAGC's 216-token matrix trained as a BPE vocabulary for Igbo would directly close this gap.,speculative,source_observed,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0326,"**Shannon Redundancy Prediction:** If English has ~50% redundancy and PAGC claims optimal encoding for Igbo, the theoretical redundancy of PAGC-encoded Igbo should be computable from the entropy of the 27×8 distribution.",speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0328,"If the 216-token vocabulary achieves competitive compression on these non-text domains, PAGC's universality claim has empirical support.",speculative,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
