case_id,claim_text,source_path,source_type,variant_type,input_layer,output_layer,gold_promotion_error,severity,split
LPE2-0029,"As a design hypothesis rather than source evidence, section | PAGC equivalent | Current allowed work",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0030,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,train
LPE2-0031,"2.1 Solvable settings | tiny claims that can fail | source inventory count, chart transcription, BPE k sweep",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0032,"2.1 Solvable settings | tiny claims that can fail | source inventory count, chart transcription, BPE k sweep",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,dev
LPE2-0033,The working source index proves the final reviewed glyph grammar.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,test
LPE2-0034,2.2 Simplifying limits | strip away grand theory | start with Omniglot + Azuonye only; ignore E6 and universality,research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,speculative,speculative,False,none,train
LPE2-0035,"As a speculative hypothesis, 2.2 Simplifying limits | strip away grand theory | start with Omniglot + Azuonye only; ignore E6 and universality",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,speculative,speculative,False,none,dev
LPE2-0036,The Nwagu Aneke source chart proves the proposed exceptional-math and universal-compression theory.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,speculative,source_observed,True,blocking,train
LPE2-0037,"2.3 Simple empirical laws | repeatable curves | compression/perplexity vs vocabulary size, cache size, corpus size",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0038,"As a design hypothesis rather than source evidence, 2.3 Simple empirical laws | repeatable curves | compression/perplexity vs vocabulary size, cache size, corpus size",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0039,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,train
LPE2-0040,"2.4 System parameters | knobs and regimes | base count, modifier count, dialect mix, tokenizer, tone handling",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0041,"As a design hypothesis rather than source evidence, 2.4 System parameters | knobs and regimes | base count, modifier count, dialect mix, tokenizer, tone handling",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,test
LPE2-0042,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,train
LPE2-0043,2.5 Universal phenomena | cross-domain recurrence | only after independent corpora and baselines survive,research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,dev
LPE2-0044,"As a design hypothesis rather than source evidence, 2.5 Universal phenomena | cross-domain recurrence | only after independent corpora and baselines survive",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,dev
LPE2-0045,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,train
LPE2-0046,"No paper, product narrative, or README may state PAGC as established theory.",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,test
LPE2-0047,"As a design hypothesis rather than source evidence, no paper, product narrative, or README may state PAGC as established theory.",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,test
LPE2-0048,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,test
LPE2-0049,"""Principia-level"" without a linked falsification result",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,test
LPE2-0050,"As a design hypothesis rather than source evidence, ""Principia-level"" without a linked falsification result",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0051,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,dev
LPE2-0052,"""27x8 structure"" without saying whether it is observed, extracted, or hypothesized",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0053,"As a design hypothesis rather than source evidence, ""27x8 structure"" without saying whether it is observed, extracted, or hypothesized",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,test
LPE2-0054,The source-observed Nwagu Aneke layer has 27 rows and 216 records.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,train
LPE2-0055,Status: source-integrity archive started on 2026-04-25.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0056,Status: source-integrity archive started on 2026-04-25.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0057,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,test
LPE2-0058,nwaguaneke_omniglot_chart.gif | Symbol chart image | | Archived and verified as GIF.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,source_index,source_index,False,none,test
LPE2-0059,nwaguaneke_omniglot_chart.gif | Symbol chart image | | Archived and verified as GIF.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0060,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,dev
LPE2-0061,omniglot_nwaguaneke.html | Source page HTML | | Archived.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0062,omniglot_nwaguaneke.html | Source page HTML | | Archived.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0063,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,train
LPE2-0064,Azuonye 1992 official landing page | | Found; preferred citation anchor | Manually download official PDF through the browser/repository UI.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0065,Azuonye 1992 official landing page | | Found; preferred citation anchor | Manually download official PDF through the browser/repository UI.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0066,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,dev
LPE2-0067,Ahamefula/Mbah linguistic analysis | | Bibliographic source only | Locate full text or mark unavailable.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0068,Ahamefula/Mbah linguistic analysis | | Bibliographic source only | Locate full text or mark unavailable.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0069,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,train
LPE2-0070,"Manuscript exercise books | Unknown | Missing primary artifact | Identify archive, estate, research team, or institution contact.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,blocked,blocked,False,none,train
LPE2-0071,"This remains blocked pending review: manuscript exercise books | Unknown | Missing primary artifact | Identify archive, estate, research team, or institution contact.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,blocked,blocked,False,none,train
LPE2-0072,This source-observed fact is ready for public submission without further review.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,blocked,source_observed,True,blocking,train
LPE2-0073,"No PAGC claim may advance beyond hypothesis until it cites a local source artifact, an extraction method, and a falsification test.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,speculative,speculative,False,none,train
LPE2-0074,"As a speculative hypothesis, no PAGC claim may advance beyond hypothesis until it cites a local source artifact, an extraction method, and a falsification test.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,speculative,speculative,False,none,dev
LPE2-0075,The Nwagu Aneke source chart proves the proposed exceptional-math and universal-compression theory.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,speculative,source_observed,True,blocking,train
LPE2-0076,Current evidence supports only this narrow statement: an accessible online chart and secondary page for the Nwagụ Aneke syllabary have been archived.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0077,Current evidence supports only this narrow statement: an accessible online chart and secondary page for the Nwagụ Aneke syllabary have been archived.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0078,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,train
LPE2-0079,"It does not prove 27x8, E6, universal compression, genetic-code isomorphism, or any formal generative theory.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,speculative,speculative,False,none,train
LPE2-0080,"As a speculative hypothesis, it does not prove 27x8, E6, universal compression, genetic-code isomorphism, or any formal generative theory.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,speculative,speculative,False,none,dev
LPE2-0081,The source-observed Nwagu Aneke layer has 27 rows and 216 records.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,speculative,source_observed,True,blocking,dev
LPE2-0082,Compare the Omniglot chart against the Azuonye appendix.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0083,Compare the Omniglot chart against the Azuonye appendix.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0084,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,train
LPE2-0085,"Transcribe the chart into structured data with row, column, glyph label, phonetic value, and uncertainty notes.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0086,"Transcribe the chart into structured data with row, column, glyph label, phonetic value, and uncertainty notes.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0087,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,train
LPE2-0088,"Count observed bases and modifiers from the source, not from PAGC assumptions.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,source_index,source_index,False,none,test
LPE2-0089,"Count observed bases and modifiers from the source, not from PAGC assumptions.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,test
LPE2-0090,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,dev
LPE2-0091,"Mark missing, uncertain, ambiguous, and standalone-vowel cases.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,blocked,blocked,False,none,train
LPE2-0092,"This remains blocked pending review: mark missing, uncertain, ambiguous, and standalone-vowel cases.",research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,blocked,blocked,False,none,dev
LPE2-0093,This source-observed fact is ready for public submission without further review.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,blocked,source_observed,True,blocking,train
LPE2-0094,Downgrade 27x8 if the source inventory does not support it.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0095,Downgrade 27x8 if the source inventory does not support it.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0096,The source-observed Nwagu Aneke layer has 27 rows and 216 records.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,dev
LPE2-0097,Do not republish the chart or paper content in public material without checking rights and attribution requirements.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,real_claim,blocked,blocked,False,none,dev
LPE2-0098,This remains blocked pending review: do not republish the chart or paper content in public material without checking rights and attribution requirements.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,edited_real_claim,blocked,blocked,False,none,test
LPE2-0099,The lab has public authority and rights clearance to release the Nwagu Aneke glyph corpus.,research/pagc/primary_sources/nwagu_aneke/README.md,real_repo_claim,adversarial_promotion,blocked,source_observed,True,blocking,test
LPE2-0100,# Nwagụ Aneke Syllabary — Structured Source Transcription,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0101,# Nwagụ Aneke Syllabary — Structured Source Transcription,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0102,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,test
LPE2-0103,"> **Source:** Omniglot chart GIF (archived), visually examined",research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,dev
LPE2-0104,"> **Source:** Omniglot chart GIF (archived), visually examined",research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,test
LPE2-0105,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,test
LPE2-0106,> **Method:** Manual row/column count from chart image,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0107,> **Method:** Manual row/column count from chart image,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0108,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,test
LPE2-0109,"> **Auditor:** Opus critique pass — source-only, no PAGC assumptions",research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,test
LPE2-0110,"> **Auditor:** Opus critique pass — source-only, no PAGC assumptions",research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,test
LPE2-0111,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,dev
LPE2-0112,6 | i | /ɪ/ (ị) | HIGH — likely the −ATR variant,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0113,6 | i | /ɪ/ (ị) | HIGH — likely the −ATR variant,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,test
LPE2-0114,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,test
LPE2-0115,7 | o | /ɔ/ (ọ) | HIGH — likely the −ATR variant,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,dev
LPE2-0116,7 | o | /ɔ/ (ọ) | HIGH — likely the −ATR variant,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0117,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,train
LPE2-0118,8 | u | /ʊ/ (ụ) | HIGH — likely the −ATR variant,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0119,8 | u | /ʊ/ (ụ) | HIGH — likely the −ATR variant,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,test
LPE2-0120,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,dev
LPE2-0121,"> The 8 columns correspond to Standard Igbo's 8-vowel system (a, e, i, ị, o, ọ, u, ụ), reordered as (a, i, o, u, e, ị, ọ, ụ).",research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0122,"As a design hypothesis rather than source evidence, > The 8 columns correspond to Standard Igbo's 8-vowel system (a, e, i, ị, o, ọ, u, ụ), reordered as (a, i, o, u, e, ị, ọ, ụ).",research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0123,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,train
LPE2-0124,The chart header appears to show the ATR pairs grouped together.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,dev
LPE2-0125,The chart header appears to show the ATR pairs grouped together.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0126,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,train
LPE2-0127,**This matches PAGC's claim of 8 modifiers.**,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0128,**This matches PAGC's claim of 8 modifiers.**,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,dev
LPE2-0129,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,train
LPE2-0130,Reading top to bottom from the chart's left column:,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,dev
LPE2-0131,Reading top to bottom from the chart's left column:,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0132,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,train
LPE2-0133,"4 | f/v | /f/ or /v/ | **Combined row.** Single printed row labeled ""f/v"".",research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,derived,derived,False,none,dev
LPE2-0134,"As a derived-layer claim, 4 | f/v | /f/ or /v/ | **Combined row.** Single printed row labeled ""f/v"".",research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,derived,derived,False,none,dev
LPE2-0135,The source-observed Nwagu Aneke layer has 27 rows and 216 records.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,derived,source_observed,True,material,train
LPE2-0136,This is the only source of the 26-vs-27 ambiguity.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,test
LPE2-0137,This is the only source of the 26-vs-27 ambiguity.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0138,The source-observed Nwagu Aneke layer has 27 rows and 216 records.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,train
LPE2-0139,**Source-grounded count:** The published chart shows **26 consonant rows × 8 vowel columns.**,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,source_index,source_index,False,none,train
LPE2-0140,**Source-grounded count:** The published chart shows **26 consonant rows × 8 vowel columns.**,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,train
LPE2-0141,The working source index proves the final reviewed glyph grammar.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,test
LPE2-0142,Only a reinterpretation of the combined f/v row (row 4) as two underlying phonemes can recover a 27-base claim.,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,real_repo_claim,real_claim,derived,derived,False,none,train
