seed_id,lane_id,opportunity_id,working_title,research_question,evidence_layer,first_artifact,falsification_gate,rights_authority_gate,product_or_lab_payoff,status,claim_ceiling,next_action
NWR-014,2,OPP-003,Consent state vocabulary,What states should represent approval refusal deferral and uncertainty,authority_rights,consent_state_vocab,vocabulary hides refusal or uncertainty,no authority status without actual record,improves review workflow,seed_only_not_paper_candidate,research_seed_not_paper_claim,define non-final state vocabulary
NWR-015,2,OPP-012,Reviewer workload budget,How much review burden does each branch impose on human authorities,authority_rights,review_workload_table,table cannot estimate effort or fatigue,no invitations from this packet,keeps lab humane and feasible,seed_only_not_paper_candidate,research_seed_not_paper_claim,estimate workload for top branches
NWR-016,2,OPP-003,Authority contradiction register,How should conflicting authority guidance be preserved without erasure,authority_rights,authority_contradiction_register,register forces a single premature decision,do not resolve conflicts without review,keeps plural authority visible,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft contradiction fields
NWR-017,3,OPP-002,Count layer reader test,Can readers distinguish source-observed and derived count layers,derived,reader_response_protocol,readers confuse derived with observed,no public teaching claim without reader evidence,improves interface legibility,seed_only_not_paper_candidate,research_seed_not_paper_claim,prepare 3 to 5 response CSV template
NWR-018,3,OPP-002,Derived split sensitivity,Which interpretations change under the f v split,derived,sensitivity_table,no conclusions change across views,keep split labeled as derived,prevents count mysticism,seed_only_not_paper_candidate,research_seed_not_paper_claim,fill sensitivity table from existing fixtures
NWR-019,3,OPP-004,Claim layer transition rules,When may a claim move from derived to supported,derived,transition_rule_note,rules allow unsupported promotion,human review required for promotion,stabilizes claim model,seed_only_not_paper_candidate,research_seed_not_paper_claim,map transition rules to current schema
NWR-020,3,OPP-002,Count view failure cases,What interface states make uncertainty disappear,derived,view_failure_case_list,no failure cases can be reproduced,no public visual without uncertainty labels,improves design QA,seed_only_not_paper_candidate,research_seed_not_paper_claim,enumerate visual failure cases
NWR-021,3,OPP-004,Layer confusion taxonomy,What kinds of layer promotion error appear in current outputs,derived,lpe_taxonomy_note,taxonomy cannot classify known examples,no AI benchmark claim from taxonomy alone,improves evaluator design,seed_only_not_paper_candidate,research_seed_not_paper_claim,cluster existing LPE cases
NWR-022,3,OPP-002,Variant table grammar,What table grammar makes row column and split status visible,derived,variant_table_spec,spec hides source versus derived distinction,no teaching use before reader response,helps all future explainers,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft table display rules
NWR-023,3,OPP-004,Fixture completeness audit,Which claim fixtures are missing evidence layer coverage,derived,fixture_gap_report,fixtures already cover all required branches,review before adding doctrine,keeps schema honest,seed_only_not_paper_candidate,research_seed_not_paper_claim,compare fixtures to lane map
NWR-024,3,OPP-002,Count myth breaker note,Which claims should be explicitly rejected or demoted in count discussions,derived,rejection_note,rejected claims lack audit trail,do not erase historical notes,prevents overclaim drift,seed_only_not_paper_candidate,research_seed_not_paper_claim,list rejected or demoted count claims
NWR-025,4,OPP-009,Logograph uncertainty ledger,Which full-word signs need stable uncertain or rejected labels,source_observed,logograph_uncertainty_ledger,ledger cannot separate visual observation from interpretation,authority review before public signs,unlocks script analysis,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft ledger schema and sample rows
NWR-026,4,OPP-009,Sign comparison protocol,How should Nwagu signs be compared without borrowing unsupported categories,source_observed,comparison_protocol,protocol imports external categories as facts,source review before comparison claims,improves linguistic rigor,seed_only_not_paper_candidate,research_seed_not_paper_claim,define comparison fields and cautions
NWR-027,4,OPP-005,Repertoire stability checklist,What must be true before encoding or repertoire claims are discussed,source_observed,stability_checklist,checklist permits unstable signs,authority review before standards contact,protects standards work,seed_only_not_paper_candidate,research_seed_not_paper_claim,derive checklist from lane blockers
NWR-028,4,OPP-001,Row label audit,Which row labels are source anchored and which are editorial,source_observed,row_label_audit,labels cannot be traced to sources,no source promotion without review,hardens count tables,seed_only_not_paper_candidate,research_seed_not_paper_claim,tag row labels in current data
NWR-029,4,OPP-009,Visual feature vocabulary,Which visual features can be named without semantic claims,source_observed,feature_vocab,features smuggle meaning into form,no public asset reuse without review,enables careful description,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft neutral feature terms
NWR-030,4,OPP-009,Glyph uncertainty examples,Which examples best teach uncertainty without exposing restricted material,source_observed,example_selection_note,examples require restricted source material,rights review before examples,helps education kit later,seed_only_not_paper_candidate,research_seed_not_paper_claim,select metadata-only examples
NWR-031,4,OPP-005,Identifier risk note,How can identifiers be assigned internally without implying standards status,source_observed,identifier_risk_note,identifiers look like official encoding,no external standards claim,keeps internal data usable,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft internal identifier rules
NWR-032,4,OPP-009,Script term glossary,Which terms need definitions before formal script discussion,source_observed,script_glossary,glossary conflicts with source usage,domain review before public use,improves shared language,seed_only_not_paper_candidate,research_seed_not_paper_claim,extract terms from current notes
NWR-033,5,OPP-005,Unicode gap map,Which evidence gaps block standards-facing repertoire work,infrastructure,gap_map,all gaps are process gaps not evidence gaps,no standards contact from this packet,keeps encoding work bounded,seed_only_not_paper_candidate,research_seed_not_paper_claim,update gap map from status blockers
NWR-034,5,OPP-005,Identifier namespace plan,What internal namespace avoids conflict with public standards,infrastructure,namespace_plan,namespace creates public-looking authority,no public identifier claim,improves repo interoperability,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft internal namespace convention
NWR-035,5,OPP-008,Metadata portability audit,Which files need cleaner metadata before packaging,infrastructure,metadata_audit,metadata cannot be validated or traced,no package promotion without review,improves preservation readiness,seed_only_not_paper_candidate,research_seed_not_paper_claim,scan candidate metadata fields
NWR-036,5,OPP-004,Schema crosswalk,How should claim layers map to common metadata fields,infrastructure,schema_crosswalk,crosswalk loses uncertainty labels,no external schema claim,connects lab data to archives,seed_only_not_paper_candidate,research_seed_not_paper_claim,map claim fields to package metadata
NWR-037,5,OPP-005,Standards caution note,What language keeps gap work below proposal status,infrastructure,caution_note,note reads like a formal proposal,no standards submission,protects external legibility,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft approved caution wording
NWR-038,5,OPP-008,Rights-safe sample policy,What sample policy permits demos without leaking content,infrastructure,sample_policy,policy requires restricted source examples,no demo sample without rights review,unblocks future tools,seed_only_not_paper_candidate,research_seed_not_paper_claim,define synthetic and metadata-only sample rules
NWR-039,5,OPP-004,Machine claim envelope,How can machine-readable files carry claim ceilings,infrastructure,claim_envelope_schema,envelope omits blockers or evidence layer,no promotion from envelope alone,improves validators,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft envelope fields
NWR-040,5,OPP-005,Interchange failure cases,Which export formats would flatten uncertainty,infrastructure,interchange_failure_table,no format risks are identified,no export release before review,prevents data loss,seed_only_not_paper_candidate,research_seed_not_paper_claim,test current fields against simple exports
NWR-041,6,OPP-007,Modifier operation sketch,What operations can be defined without claiming universal algebra,speculative,operation_sketch,operations cannot be falsified or scoped,no historical meaning from operations,opens formal work safely,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft operations with counterexamples
NWR-042,6,OPP-010,Analogy collapse tests,When does a cross-domain analogy stop helping,speculative,collapse_test_table,tests cannot reject any analogy,no mechanism claim without evidence,keeps moonshots sane,seed_only_not_paper_candidate,research_seed_not_paper_claim,add collapse fields to analogue atlas
NWR-043,6,OPP-007,Formal counterexample bank,Which examples break proposed modifier rules,speculative,counterexample_bank,no counterexamples are possible,source lineage before formal claims,improves falsifiability,seed_only_not_paper_candidate,research_seed_not_paper_claim,seed counterexample rows
NWR-044,6,OPP-010,Mechanism versus analogy rubric,How can the lab label analogy without implying mechanism,speculative,rubric_note,rubric cannot separate relation types,no cross-domain promotion,improves speculative hygiene,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft rubric fields
NWR-045,6,OPP-007,Minimal formal object card,What is the smallest object that can be tested and rejected,speculative,object_card_template,object cannot produce predictions,no theory claim from card,accelerates formal experiments,seed_only_not_paper_candidate,research_seed_not_paper_claim,write object card template
NWR-046,6,OPP-010,Transfer falsifier list,Which observations would kill each transfer branch,speculative,falsifier_list,branches lack kill conditions,no promotion without kill criteria,prevents endless speculation,seed_only_not_paper_candidate,research_seed_not_paper_claim,add falsifiers to top analogies
NWR-047,6,OPP-007,Compression claim boundary,What would count as compression evidence versus metaphor,speculative,boundary_note,boundary accepts impressionistic evidence,no compression claim without benchmark,protects PAGC reset discipline,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft boundary definitions
NWR-048,6,OPP-010,Negative analogy gallery,Which tempting analogies should be rejected early,speculative,negative_gallery,no rejected analogies are documented,no mechanism language,teaches restraint,seed_only_not_paper_candidate,research_seed_not_paper_claim,collect rejected analogy candidates
NWR-049,7,OPP-006,LPE label quality audit,What makes a layer-promotion label trustworthy,infrastructure,label_quality_audit,audit cannot detect weak labels,no model score claim without gold labels,improves agent research,seed_only_not_paper_candidate,research_seed_not_paper_claim,review label fields and gaps
NWR-050,7,OPP-006,Agent no-run protocol,How should agent tasks stay useful before execution approval,infrastructure,no_run_protocol,protocol encourages hidden execution,no agent run without approval,keeps AI lane moving safely,seed_only_not_paper_candidate,research_seed_not_paper_claim,extend no-run task card rules
NWR-051,7,OPP-006,Hard negative case bank,Which cases should expose shallow claim-layer reasoning,infrastructure,negative_case_bank,cases are too easy or synthetic,no benchmark result claim,improves evaluation design,seed_only_not_paper_candidate,research_seed_not_paper_claim,select hard cases from existing fixtures
NWR-052,7,OPP-006,Reviewer disagreement model,How should label disagreement be represented before scoring,infrastructure,disagreement_schema,schema hides dissent,no gold label claim without adjudication,improves benchmark validity,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft disagreement fields
NWR-053,7,OPP-004,AI audit prompt library,Which prompts test evidence layer discipline without revealing answers,infrastructure,prompt_library,prompts leak expected labels,no model run from this packet,prepares future evaluation,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft prompt categories
NWR-054,7,OPP-006,Evaluation isolation checklist,What isolation is required before running agents,infrastructure,isolation_checklist,checklist permits uncontrolled tools,no dependency install here,supports safe future runs,seed_only_not_paper_candidate,research_seed_not_paper_claim,align with Inspect gate review
NWR-055,7,OPP-006,Benchmark disclosure card,What must be disclosed before any LPE benchmark is public,infrastructure,disclosure_card,card omits human label limits,no public benchmark claim,improves external legibility,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft benchmark card fields
NWR-056,7,OPP-006,Agent failure taxonomy,Which failure types matter for research integrity,infrastructure,failure_taxonomy,taxonomy cannot classify known failures,no performance claim,helps lab automation,seed_only_not_paper_candidate,research_seed_not_paper_claim,map failures from current cases
NWR-057,8,OPP-008,RO-Crate boundary audit,Which metadata belongs in the package and which does not,infrastructure,boundary_audit,boundary cannot exclude restricted material,no release package claim,protects reproducibility lane,seed_only_not_paper_candidate,research_seed_not_paper_claim,compare crate parts to boundary table
NWR-058,8,OPP-008,DataLad future trigger list,What evidence would justify later dataset conversion,infrastructure,trigger_list,triggers ignore authority gates,no conversion action here,keeps versioning honest,seed_only_not_paper_candidate,research_seed_not_paper_claim,derive triggers from no-conversion note
NWR-059,8,OPP-008,Software Heritage readiness blockers,Which blockers must clear before archive requests,infrastructure,archive_blocker_map,map omits release or boundary review,no archive action here,clarifies preservation pathway,seed_only_not_paper_candidate,research_seed_not_paper_claim,extend blocker map from EXP-FRONTIER-011
NWR-060,8,OPP-008,Repository release manifest design,What manifest would describe a future public subset,infrastructure,release_manifest_design,design includes unreviewed files,no public package output,prepares careful sharing,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft manifest fields only
NWR-061,8,OPP-004,Validator coverage ledger,Which claims lack validator coverage,infrastructure,validator_coverage_ledger,ledger finds no missing coverage but misses packets,no validator claim without tests,improves lab spine,seed_only_not_paper_candidate,research_seed_not_paper_claim,map artifacts to validators
NWR-062,8,OPP-008,Private data sentinel rules,What patterns should block private data in future packets,infrastructure,sentinel_rule_note,rules create false confidence,no contact data in repo,improves safety automation,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft sentinel rule categories
NWR-063,8,OPP-012,Run provenance checksum plan,How should controlled loop outputs be traced across cycles,infrastructure,checksum_plan,plan cannot link run files to status surfaces,no release claim from checksums,improves auditability,seed_only_not_paper_candidate,research_seed_not_paper_claim,define run trace fields
NWR-064,8,OPP-008,Review gate dependency graph,Which reviews block which infrastructure actions,infrastructure,review_dependency_graph,graph allows archive before rights review,no gate bypass,clarifies next actions,seed_only_not_paper_candidate,research_seed_not_paper_claim,draw dependency edges from manifests
NWR-065,9,OPP-002,Layered explainer storyboard,What sequence helps readers understand observed derived and speculative layers,application,storyboard,storyboard hides uncertainty,no public use before reader test,improves teaching interface,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft storyboard with labels
NWR-066,9,OPP-011,Reader confusion checklist,Which interface choices create false certainty,application,confusion_checklist,checklist cannot predict known confusion,no claims without reader responses,improves UX review,seed_only_not_paper_candidate,research_seed_not_paper_claim,extract issues from count view outline
NWR-067,9,OPP-002,Count card component spec,What card fields make evidence layer visible at a glance,application,component_spec,card cannot display blockers,no production UI claim,helps future prototypes,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft component field list
NWR-068,9,OPP-011,Education kit source boundaries,Which teaching materials can use metadata without source images,application,education_boundary_note,note depends on restricted images,no public kit without rights review,enables safer public scholarship,seed_only_not_paper_candidate,research_seed_not_paper_claim,list metadata-only teaching options
NWR-069,9,OPP-002,Reader response scorer review,Does the current scorer reward correct uncertainty recognition,application,scorer_review,scorer rewards confident wrong answers,no user evidence claim,improves legibility metrics,seed_only_not_paper_candidate,research_seed_not_paper_claim,review scoring rubric
NWR-070,9,OPP-011,Explainer glossary test,Which terms confuse readers before they reach the evidence,application,glossary_test_plan,test cannot isolate terminology effects,no public glossary claim,improves onboarding,seed_only_not_paper_candidate,research_seed_not_paper_claim,prepare micro response task
NWR-071,9,OPP-002,Uncertainty visual marker set,Which markers signal uncertainty without stigma,application,marker_set,markers imply hierarchy or certainty,no design system release,improves visual language,seed_only_not_paper_candidate,research_seed_not_paper_claim,sketch marker options in text
NWR-072,9,OPP-011,Public question intake,What questions do readers ask after seeing the count layer,application,question_intake_template,template steers readers to expected questions,no collection without consent,feeds future explainers,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft consent-safe template
NWR-073,10,OPP-007,Layer lineage card,What lineage record should every design abstraction carry,application,lineage_card_template,card cannot trace source to abstraction,no product-facing artifact without lineage,keeps creative systems accountable,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft lineage card
NWR-074,10,OPP-007,Design grammar kill rules,When should a design branch be stopped for overreach,application,design_kill_rules,rules fail to stop invented meanings,no product doctrine claim,protects creative work,seed_only_not_paper_candidate,research_seed_not_paper_claim,write kill rule candidates
NWR-075,10,OPP-011,Interface tone guide,How should public interfaces speak about uncertainty and respect,application,tone_guide,tone guide makes claims too strong,no public copy without review,improves external legibility,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft tone principles
NWR-076,10,OPP-007,Generative asset provenance,How can generated assets retain source and abstraction labels,application,asset_provenance_template,template cannot separate inspiration from evidence,no generated asset release,keeps design honest,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft provenance template
NWR-077,10,OPP-007,Modifier memory mockup,What would a modifier-native memory prototype need to prove first,application,prototype_preconditions,preconditions are not falsifiable,no prototype claim from mockup,shapes product research,seed_only_not_paper_candidate,research_seed_not_paper_claim,define preconditions without building
NWR-078,10,OPP-007,Design review rubric,How should reviewers score lineage safety in creative outputs,application,review_rubric,rubric rewards aesthetics over evidence,no approval claim without reviewers,improves design QA,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft rubric rows
NWR-079,10,OPP-011,Community-facing exhibit boundary,What exhibit form stays respectful while evidence is immature,application,exhibit_boundary_note,boundary depends on unapproved content,no exhibit launch claim,prepares public scholarship,seed_only_not_paper_candidate,research_seed_not_paper_claim,define internal exhibit constraints
NWR-080,10,OPP-007,Abstraction debt ledger,Which design choices create future evidence debt,application,abstraction_debt_ledger,ledger cannot rank debt,no design maturity claim,keeps invention accountable,seed_only_not_paper_candidate,research_seed_not_paper_claim,create debt categories
NWR-081,11,OPP-010,Cross-domain transfer grid,Which domains deserve comparison and which should be rejected,speculative,transfer_grid,grid cannot define shared properties,no cross-domain claim,organizes discovery,seed_only_not_paper_candidate,research_seed_not_paper_claim,add property fields to grid
NWR-082,11,OPP-010,Biological analogy caution,What must be true before biological comparisons are useful,speculative,bio_caution_note,caution note lacks kill conditions,no biological mechanism claim,keeps analogy bounded,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft caution note
NWR-083,11,OPP-010,Governance systems analogy,Which governance patterns resemble layer discipline only by analogy,speculative,governance_analogy_note,note confuses analogy with evidence,no product doctrine claim,links Oroma carefully,seed_only_not_paper_candidate,research_seed_not_paper_claim,map analogy and limits
NWR-084,11,OPP-010,Compression benchmark precheck,What benchmark would be needed before compression claims,speculative,benchmark_precheck,precheck lacks baseline or null model,no compression result claim,frames future tests,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft benchmark requirements
NWR-085,11,OPP-010,Knowledge graph transfer note,Which graph concepts help provenance without claiming script meaning,speculative,kg_transfer_note,note imports meaning from graph structure,no semantic claim,improves lab tooling,seed_only_not_paper_candidate,research_seed_not_paper_claim,define graph use cases
NWR-086,11,OPP-010,Standards ecosystem comparison,How do other writing systems move from dossier to standards work,speculative,ecosystem_comparison_plan,comparison lacks source-specific limits,no standards pathway claim,helps long-range planning,seed_only_not_paper_candidate,research_seed_not_paper_claim,list comparison cases
NWR-087,11,OPP-010,Failure-first synthesis method,Can every synthesis branch begin with a failure condition,speculative,synthesis_method_note,method cannot handle open-ended exploration,no synthesis claim without tests,improves research culture,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft method checklist
NWR-088,11,OPP-010,Analogue atlas review gate,What review is needed before analogies enter public materials,speculative,analogue_review_gate,gate omits community or domain review,no public analogy claim,protects external credibility,seed_only_not_paper_candidate,research_seed_not_paper_claim,define review gate fields
NWR-089,12,OPP-012,Portfolio acceleration dashboard,What dashboard would show next proofs without rewarding easy outputs,infrastructure,dashboard_spec,dashboard rewards volume over evidence,no maturity claim from dashboard,turns urgency into focus,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft dashboard metrics
NWR-090,12,OPP-012,Branch pruning protocol,When should the lab pause or kill a branch,infrastructure,pruning_protocol,protocol cannot stop attractive weak branches,no deletion of source records,improves focus,seed_only_not_paper_candidate,research_seed_not_paper_claim,define prune states
NWR-091,12,OPP-012,Hundred seed review cadence,How should 100 seed records be triaged without losing rigor,infrastructure,cadence_plan,cadence ignores review capacity,no paper maturity claim,helps recovery execution,seed_only_not_paper_candidate,research_seed_not_paper_claim,set weekly triage rules
NWR-092,12,OPP-012,Information gain scoring,Which score best predicts useful next artifacts,infrastructure,scoring_note,score picks easy tasks only,no automatic promotion,improves portfolio decisions,seed_only_not_paper_candidate,research_seed_not_paper_claim,compare scorecard dimensions
NWR-093,12,OPP-012,Lab staffing role map,Which roles are needed to process seeds responsibly,infrastructure,staffing_role_map,map invents unavailable staff,no assignment claim,clarifies collaboration needs,seed_only_not_paper_candidate,research_seed_not_paper_claim,map roles to seed classes
NWR-094,12,OPP-012,Grant and partnership filter,Which partners fit rights-aware open research,infrastructure,partner_filter,filter prioritizes prestige over community benefit,no partnership claim,protects strategy,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft filter criteria
NWR-095,12,OPP-012,Frontier method trace,What evidence would make the lab method worth studying itself,infrastructure,method_trace_plan,trace lacks multiple validated cycles,no meta-research claim,builds lab science,seed_only_not_paper_candidate,research_seed_not_paper_claim,define method trace fields
NWR-096,12,OPP-012,Release ladder design,What stages should separate seed note artifact packet candidate and release,infrastructure,release_ladder,ladder skips authority review,no release claim,organizes maturity,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft stage ladder
NWR-097,1,OPP-001,Source request ethics note,How should source requests describe purpose without pressure,source_observed,request_ethics_note,note cannot state benefit or limits,send only after approval,improves acquisition practice,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft non-sending note
NWR-098,2,OPP-003,Authority feedback receipt,How should the lab record authority feedback without exposing identities,authority_rights,feedback_receipt_schema,schema requires personal details,no private data in repo,prepares safe review memory,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft pseudonymous receipt fields
NWR-099,3,OPP-004,Claim demotion workflow,How should claims be demoted when evidence weakens,derived,demotion_workflow,workflow preserves overstrong claims,no readiness language,keeps wiki truthful,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft demotion states
NWR-100,4,OPP-009,Script question backlog,Which script questions should be answered before any inventory article,source_observed,script_question_backlog,questions are too vague to test,no article claim,sets next source work,seed_only_not_paper_candidate,research_seed_not_paper_claim,convert questions into evidence tasks
