case_id,reviewer,input_layer,output_layer,promotion_error,severity,rationale
LPE3-0001,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0015,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0015,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0016,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0016,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0016,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0017,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0017,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0017,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0018,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0018,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0018,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0019,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0019,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0019,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0020,methods_reviewer,speculative,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0020,domain_postdoc,speculative,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0020,rights_authority_reviewer,speculative,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0021,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0021,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0021,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0022,methods_reviewer,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0022,domain_postdoc,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0022,rights_authority_reviewer,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0023,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0023,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0023,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0024,methods_reviewer,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0024,domain_postdoc,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0024,rights_authority_reviewer,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0025,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0025,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0025,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0026,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0026,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0026,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0027,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0027,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0027,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0028,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0028,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0028,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0029,methods_reviewer,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0029,domain_postdoc,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0029,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0030,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0030,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0030,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0031,methods_reviewer,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0031,domain_postdoc,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0031,rights_authority_reviewer,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0032,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0032,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0032,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0033,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0033,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0033,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0034,methods_reviewer,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0034,domain_postdoc,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0034,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0035,methods_reviewer,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0035,domain_postdoc,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0035,rights_authority_reviewer,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0036,methods_reviewer,blocked,source_index,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0036,domain_postdoc,blocked,source_index,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0036,rights_authority_reviewer,blocked,source_index,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0037,methods_reviewer,source_index,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0037,domain_postdoc,source_index,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0037,rights_authority_reviewer,source_index,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0038,methods_reviewer,design_hypothesis,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0038,domain_postdoc,design_hypothesis,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0038,rights_authority_reviewer,design_hypothesis,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0039,methods_reviewer,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0039,domain_postdoc,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0039,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0040,methods_reviewer,speculative,speculative,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0040,domain_postdoc,speculative,speculative,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0040,rights_authority_reviewer,speculative,speculative,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0041,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0041,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0041,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0042,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0042,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0042,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0043,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0043,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0043,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0044,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0044,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0044,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0045,methods_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0045,domain_postdoc,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0045,rights_authority_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0046,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0046,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0046,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0047,methods_reviewer,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0047,domain_postdoc,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0047,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0048,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0048,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0048,rights_authority_reviewer,design_hypothesis,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0049,methods_reviewer,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0049,domain_postdoc,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0049,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0050,methods_reviewer,derived,derived,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0050,domain_postdoc,derived,derived,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0050,rights_authority_reviewer,derived,derived,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0051,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0051,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0051,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0052,methods_reviewer,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0052,domain_postdoc,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0052,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0053,methods_reviewer,design_hypothesis,source_index,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0053,domain_postdoc,design_hypothesis,source_index,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0053,rights_authority_reviewer,design_hypothesis,source_index,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0054,methods_reviewer,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0054,domain_postdoc,blocked,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0054,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0055,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0055,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0055,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0056,methods_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0056,domain_postdoc,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0056,rights_authority_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0057,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0057,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0057,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0058,methods_reviewer,design_hypothesis,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0058,domain_postdoc,design_hypothesis,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0058,rights_authority_reviewer,design_hypothesis,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0059,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0059,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0059,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0060,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0060,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0060,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0061,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0061,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0061,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0062,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0062,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0062,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0063,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0063,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0063,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0064,methods_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0064,domain_postdoc,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0064,rights_authority_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0065,methods_reviewer,derived,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0065,domain_postdoc,derived,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0065,rights_authority_reviewer,derived,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0066,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0066,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0066,rights_authority_reviewer,design_hypothesis,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0067,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0067,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0067,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0068,methods_reviewer,design_hypothesis,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0068,domain_postdoc,design_hypothesis,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0068,rights_authority_reviewer,design_hypothesis,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0069,methods_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0069,domain_postdoc,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0069,rights_authority_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0070,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0070,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0070,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0071,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0071,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0071,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0072,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0072,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0072,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0073,methods_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0073,domain_postdoc,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0073,rights_authority_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0074,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0074,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0074,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0075,methods_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0075,domain_postdoc,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0075,rights_authority_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0076,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0076,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0076,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0077,methods_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0077,domain_postdoc,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0077,rights_authority_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0078,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0078,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
